pipeline,model,sex,n_features,n_samples,n_subjects,mean_mae,std_mae,successful_folds,n_train_samples_per_fold,best_params,mae_fold_1,mae_fold_2,mae_fold_3,mae_fold_4,mae_fold_5,mae_fold_6,mae_fold_7
fs741_vol_a2009s,histgradientboosting,M,496,1704,924,8.617874638087443,0.5263733362036019,7,1460,N/A,8.596274205679949,8.555673432451602,7.706534538425881,8.553555728919369,8.863825108240503,8.429197984813493,9.620061468081303
fs741_vol_a2009s,histgradientboosting,F,496,3059,1468,8.296847223711634,0.3970797422471512,7,2623,N/A,8.282948148935155,7.83656092336836,8.672314003510971,8.127262816738426,9.008428307040154,7.833009866908967,8.3174064994794
fs741_vol_a2009s,extratrees,M,496,1704,924,11.54250418858289,0.9239620968844564,7,1460,N/A,11.149219053155235,11.08068687906284,10.551725505781466,11.666317785474565,12.793698116881806,10.566604157234904,12.989277822489422
fs741_vol_a2009s,extratrees,F,496,3059,1468,10.221328571739178,0.34740502078567975,7,2623,N/A,10.129616445339767,9.910307394086471,10.911534153716543,9.972164328864785,10.073296007965777,10.57054310026162,9.981838571939287
fs741_vol_a2009s,svm,M,496,1704,924,12.765473141571887,0.9302133012506486,7,1460,N/A,12.34627648984668,12.25221985276587,11.385889758167092,12.286685508750047,13.953933418167605,12.938474718617703,14.194832244688218
fs741_vol_a2009s,svm,F,496,3059,1468,11.128096174762936,0.4984721131677184,7,2623,N/A,10.70310107931644,11.0803919526093,11.059138591820016,10.362717812146766,11.942100858801677,11.67604323227331,11.073179696373037
fs741_vol_DKT_a2009s,baseline,M,0,1704,924,22.687689378579854,0.8922534093137828,7,1460,N/A,22.51871055173099,22.443132772601853,22.581331551289296,22.331737413071455,24.269661566435616,21.195658423860984,23.473593371068805
fs741_vol_DKT_a2009s,baseline,F,0,3059,1468,18.26998241906832,0.569983534758205,7,2623,N/A,17.93195273414446,18.037867434990943,18.550255822206008,18.848646405316718,17.259913365928675,18.176603669543095,19.084637501348336
fs741_vol_DKT_a2009s,elasticnet,M,620,1704,924,16.081421108502074,0.6203979180435971,7,1460,N/A,15.845133046093173,16.155265035205137,15.354690874038125,16.477330630286247,16.81061477839783,15.130229757684178,16.79668363780982
fs741_vol_DKT_a2009s,elasticnet,F,620,3059,1468,14.530469184107492,0.555719764497741,7,2623,N/A,14.425657707574466,13.891948913035945,15.446528816219113,13.949070272402459,14.556047277164884,15.217925589239487,14.226105713116105
fs741_vol_DKT_a2009s,kneighbors,M,620,1704,924,13.40941010114413,1.3320348901945758,7,1460,N/A,12.469804680180696,13.984055086328173,11.28082336252735,13.272377302568712,14.638446473078975,12.667131087116152,15.553232716208852
fs741_vol_DKT_a2009s,kneighbors,F,620,3059,1468,13.261129894625212,0.9273677658912615,7,2623,N/A,14.221738194772593,12.328034074245528,13.64334032521215,11.527063974198166,14.197013259260421,13.702587493163499,13.20813194152411
fs741_vol_DKT_a2009s,histgradientboosting,M,620,1704,924,8.659712191722829,0.6438619703974467,7,1460,N/A,7.9701755632573885,8.407441640393486,7.962782310122675,8.698383248451528,8.83645710888398,8.726609395133067,10.016136075817675
fs741_vol_DKT_a2009s,histgradientboosting,F,620,3059,1468,8.414649813827507,0.2582316803020667,7,2623,N/A,8.682599075573401,8.110177283378642,8.519946246390917,8.158123357543554,8.758871160294241,8.118858606393825,8.553972967217982
fs741_vol_DKT_a2009s,extratrees,M,620,1704,924,11.516987827890322,0.8491981093306974,7,1460,N/A,11.02018402808194,11.146841548042563,10.881466945511166,11.611544532409276,12.716894734207342,10.439911099149658,12.802071907830307
fs741_vol_DKT_a2009s,extratrees,F,620,3059,1468,10.468395760155484,0.3919671513225513,7,2623,N/A,10.43629461378163,10.243501196793439,11.318621123460112,9.968328175629633,10.459903962670394,10.579768610857,10.272352637896184
fs741_vol_DKT_a2009s,svm,M,620,1704,924,13.222996360305235,0.912948459285247,7,1460,N/A,12.34217889383599,13.566519941230647,12.324067535212619,12.442252121832809,14.040302580341585,12.954496401233973,14.891157048449028
fs741_vol_DKT_a2009s,svm,F,620,3059,1468,11.361585390258412,0.47659996968871315,7,2623,N/A,11.134057170816744,11.251316751010398,11.204028951749995,10.65472015044081,12.227092508455753,11.842856499015097,11.217025700320091
fs800_vol_DKT,baseline,M,0,1704,924,22.687689378579854,0.8922534093137828,7,1460,N/A,22.51871055173099,22.443132772601853,22.581331551289296,22.331737413071455,24.269661566435616,21.195658423860984,23.473593371068805
fs800_vol_DKT,baseline,F,0,3059,1468,18.26998241906832,0.569983534758205,7,2623,N/A,17.93195273414446,18.037867434990943,18.550255822206008,18.848646405316718,17.259913365928675,18.176603669543095,19.084637501348336
fs800_vol_DKT,elasticnet,M,309,1704,924,15.918489265051418,0.8456210249912944,7,1460,N/A,15.243726835361974,16.222433115731107,14.98763154621795,15.677549049548741,17.416329626801403,15.138143965704376,16.74361071599438
fs800_vol_DKT,elasticnet,F,309,3059,1468,14.509042418578991,0.6440725329409115,7,2623,N/A,14.649501480018891,13.955898700351241,15.539953142871813,13.571434948906097,14.296553726578944,15.249124194775222,14.300830736550733
fs800_vol_DKT,kneighbors,M,309,1704,924,10.20703301953107,1.0361452157770004,7,1460,N/A,9.256862607473664,10.347316415548795,8.71618908893911,10.774973345148364,12.141594166051956,9.728907267739038,10.48338824581655
fs800_vol_DKT,kneighbors,F,309,3059,1468,10.968921487061307,0.5816627666512788,7,2623,N/A,11.064700713467555,10.319040114999027,11.21311573595525,9.88257642989441,11.569603175750663,11.466054581164535,11.267359658197703
fs800_vol_DKT,histgradientboosting,M,309,1704,924,6.2964122130261675,0.5857413607282941,7,1460,N/A,6.35485442515182,7.029489825398396,5.861147331550242,5.893151479378525,5.348668539855797,6.553187423404206,7.034386466444192
